Probes,p_IL10,p_IL-10RB,p_CCL11,p_MMP-1,p_CCL3,p_TNFB,p_TNFSF14,p_TRAIL,p_CX3CL1,p_CST5,p_TGF-alpha,p_IL7,p_MCP4,p_uPA,p_CCL19,p_CXCL5,p_SCF,p_FGF-19,p_VEGFA,p_CXCL10,p_CD6,p_AXIN1,p_CXCL6,p_HGF,p_Flt3L,p_CSF-1,p_CASP-8,p_CCL20,p_IL8,p_4E-BP1,p_CD5,p_SIRT2,p_ADA,p_CCL25,p_LIF-R,p_CD8a,p_CCL4,p_STAMPB,p_DNER,p_IL-18R1,p_LAPTGF-beta1,p_CCL23,p_MCP1,p_CD40,p_MCP-2,p_TNFRSF9,p_FGF23,p_TWEAK,p_OSM,p_MCP3,p_FGF-21,p_CXCL9,p_OPG,p_IL18,p_IL-12B,p_RANKL,p_CDCP1,p_MMP-10,p_PD-L1,p_CD244,p_ST1A1,p_IL6,p_Beta-NGF,p_CXCL1,p_EN-RAGE,Class
G104,0.0,-3.41352032,-3.376925707,-0.082667658,-0.152562073,-0.005610921,-0.329312252,-0.070547049,-0.112564101,-0.072885451,-0.023571756,-0.334581465,-0.024482685,-3.359804049,3.283068983,-0.16137224,-0.02974034,2.943965263,-0.056046441,-3.225646547,-0.21256123,2.128389598,-0.128182862,-0.090645224,-6.731387129,-0.068384661,-1.275050012,-0.116797327,-0.098643645,-0.625463271,-0.147982662,-0.643588661,-3.55119834,-0.170294788,-0.164749236,-0.074851371,-0.136796633,-0.775658998,-3.405208893,-0.07934648,-3.444479756,0.004765661,0.022653184,9.882772688,0.12765378,-0.064736641,-0.119969266,6.578453344,3.232249702,-0.206809512,-0.008989384,-0.084699336,-0.017998713,-0.021836516,-3.387367386,-3.457878151,-0.11432393,-0.100234114,6.590173586,-0.059757227,-8.31025406,-0.282446261,-0.777635917,-3.417186616,-1.745338539,AE
G108,0.148195092,-0.23416191,-0.052493841,-0.014121108,-0.03985785,3.097135163,-0.178335696,3.291270987,-0.107145077,-0.433356339,-0.135760304,-0.363621171,-0.152669971,-3.386405723,-3.248745689,-0.28963621,0.004159291,0.018736785,-0.044209557,-9.774261484,0.064002701,-0.763439037,3.131896732,-0.122984718,-0.081764822,-0.046254226,2.955465746,0.11208841,-0.285327585,-0.385438028,-0.246684278,-0.555946856,-0.381760886,-0.123934043,-0.19823689,-0.019581071,-0.162358107,-3.639163257,-0.109267062,6.735007845,-0.230804046,-0.119148598,-6.483842869,-0.040920255,0.031173943,-0.13933548,-0.408072314,-0.091311619,0.123274688,0.117255489,0.123592148,0.175446345,-0.069124044,0.157033184,0.343276941,-3.433120383,-0.315787163,-0.178728602,-0.066028856,-0.118965595,-0.961594961,0.971475852,-7.931177987,3.237157328,-0.290839411,NO
G109,0.060423403,0.065904994,-0.069704819,-0.157159527,-3.291432749,0.021206041,-0.44379297,3.388520848,-0.061855196,0.271723917,0.232135642,-3.578207582,0.080391318,-0.009464256,0.220971066,-0.097949881,-0.123528405,-0.458498032,-3.391389544,3.526483905,-0.305062288,-0.193160515,0.041189638,0.033151142,3.299405859,-0.04117441,2.455065361,-0.603961045,-0.094646138,-3.393777825,0.086969939,2.965314242,-0.083080127,0.007968971,0.223625779,-0.019794577,-3.171804154,-0.310083719,-3.354180848,-0.012974957,3.184110577,-3.284150707,0.167849985,-0.007138535,0.183321064,-0.063586125,0.279792992,-0.056919122,-0.538093083,0.068636154,4.163162746,-0.027295458,-0.03491037,0.159418438,0.024451378,0.080074054,0.020204169,0.283959196,0.148187934,-0.042086756,-4.097482855,-1.44123841,0.428742406,-3.330151309,-0.727228911,NO
G110,-0.324023776,-0.027175181,0.080642765,-0.132367849,0.027319273,3.327227494,-0.415463938,0.003660934,-0.043811943,0.064189974,3.200725006,-2.923006073,-6.613015801,0.012334213,-0.061140237,0.033978084,-0.005844511,-0.462667718,-0.022116534,0.076449544,-0.18287733,-1.007906446,-0.053950829,0.009294009,-3.317314239,-0.0307065,-0.553158213,0.236892972,-0.012928978,6.630116774,3.08882366,-0.357131946,3.039897979,-0.042988928,-0.105447751,3.362438975,-0.157364538,-0.320496656,0.053802351,-0.039499956,-0.181186609,3.341340773,-0.023781226,6.569840467,-3.163707403,-0.027731616,-0.039812409,-3.330185474,-0.241856883,0.0,-0.020398014,0.043922911,0.025710769,-0.001051844,-0.090875074,-0.109549874,0.31386479,-0.422521613,0.055883912,0.013509321,-1.481417161,0.333101001,0.309775064,3.211902366,-1.283952604,NO
G112,0.195365185,-0.053699678,-0.106881724,-0.142563398,-3.167360554,0.261790037,0.048312819,3.331172404,0.204235298,0.006297119,0.206992398,0.124179834,-0.025200554,0.09127654,0.036072062,-0.161100236,3.402565126,0.459525823,3.44051879,0.080679441,-0.374093239,2.720263224,-0.079469307,-0.170502928,9.853095801,0.125162915,-0.447897979,3.856403131,0.186263637,-0.551605106,-0.105408176,-0.658822344,-0.104069173,-3.04194094,0.017977269,0.112735116,-3.25735729,-3.768648589,-0.006717192,-3.20803669,-0.160096878,0.07312601,0.205010343,3.310078245,0.118971315,0.160398896,-0.644031381,3.34029407,-0.072736661,0.334737554,0.055339129,-0.01219079,0.076577188,-0.045783606,0.312967369,0.268248522,0.625234427,-3.417502834,0.067869613,0.112688094,-0.616652662,0.144783752,-0.296087791,-0.007313409,-0.240455048,AE
G117,-0.896821655,-0.030304639,-0.084371911,3.27982138,-0.114381862,3.450259642,0.109406895,0.045921715,-6.47495394,0.13987227,-0.309834962,-0.006388354,0.038569836,0.017069014,0.031681366,0.130246677,-0.004390095,0.075094193,0.062210046,-9.79610892,-3.332223764,-6.466458941,6.581868617,-0.116094349,0.060442365,0.064417864,-0.667880235,-0.094856602,0.028285285,-0.110449181,-0.035005001,0.004553718,-0.061909701,0.140912989,0.256324477,0.067878603,0.06193809,-0.294704955,-0.045822634,0.061861221,0.254131191,-0.030816017,-0.124592137,-0.005641044,-6.361742146,0.077087493,-0.273735189,0.054481223,2.722991345,0.314963682,1.04238479,9.27658047,0.033441821,-0.053418281,-0.164913202,0.018954543,0.033485422,-0.239065269,-0.12308159,0.039445349,-0.423245647,3.643952515,-0.005914048,-0.015751666,-0.375691982,NO
G126,0.622793783,0.17402583,0.218471426,0.031541517,0.238679444,0.093865685,0.378972025,0.271148484,0.142731753,-3.23865323,0.522117999,-3.024810618,0.100434269,0.008485047,0.29398708,-0.004635169,0.013121384,3.27758745,0.031810967,0.271069018,0.182863381,-2.770346507,-0.084282191,0.303833536,-9.679208743,0.046741572,-0.303964722,-0.203589505,0.012291931,-0.06776964,0.358530678,0.321566692,3.434040003,0.022486906,0.781479406,-0.018881789,0.439463796,0.208139341,0.110703269,0.19878435,0.10969934,-0.044654498,-0.059344461,-9.879422265,0.131576695,-3.293707577,0.048952755,-3.267660671,-3.226772865,0.169140119,1.11878428,0.269988579,-0.011906146,0.515715998,0.187981324,1.158264351,0.12835259,0.365131693,0.090560202,0.041876473,7.712843596,-0.009805692,-0.768025891,-9.930815679,3.91200906,NO
G128,0.797975892,-0.051038282,0.050977111,-0.006853671,-0.072004958,0.2520222,-0.061943972,0.035694266,-0.071541438,-0.153767303,-0.43708208,-0.361222116,0.014409059,-3.322646963,0.079633415,-0.013500435,-0.066426067,0.111022031,0.015386733,-3.020431116,0.024802921,-0.541391421,-0.062121712,-0.122651446,-3.236945571,0.098974737,-3.393990758,0.346274901,0.350598956,-0.48472325,-0.115117305,-0.57417132,-0.141583897,0.294941206,0.057293309,3.473476095,-0.049939062,-0.183367715,-0.081787904,0.071655188,0.172823794,-0.09137134,0.302855361,0.041539195,6.88073063,0.125029799,-0.795861691,0.027680566,-0.421764402,0.399907658,0.154699043,-2.745982595,0.004590282,0.280235645,0.17223896,0.236506431,0.301451444,-3.239344842,3.317495907,0.018038283,-0.365481353,0.187907544,-0.405047512,0.059168201,-0.673439406,NO
G302,-0.378958909,0.02996637,-0.120694661,-0.005491804,-0.281332932,-0.019736243,0.496844683,-3.383819983,0.076236498,-3.186608005,3.478951534,-0.522024461,-6.642304666,0.019560492,-6.702808217,-0.01529373,-3.365762965,0.25148738,-0.065689131,3.189769405,3.204719007,-0.802910396,0.087547113,3.428148456,-0.017370609,0.001407801,-0.865075739,-0.036146281,0.166439478,-0.192457636,-0.059568316,-0.766290028,-0.221113387,-0.064044204,-0.084774152,0.018261601,-0.299373228,-0.742558885,-3.315906859,-0.079793911,-3.528802811,0.038645502,-0.089730161,-0.068479738,0.058983814,-0.051405155,-0.581590049,-0.044214175,0.439468693,0.184287313,-0.580840821,-0.141476273,3.305069127,-0.147875668,0.08402581,0.501922682,0.060615849,-0.293004579,0.092755131,-0.00086746,-1.119926749,0.06904429,0.207509387,-9.897213463,-0.4971551,NO
G303,0.073737462,3.379845843,0.030900021,-0.186297971,-0.413039374,3.599661073,0.014383589,0.176420291,0.28080297,0.124247787,-0.081471767,3.245493958,0.01847266,-3.272058319,0.082628751,-0.130637773,0.183159834,0.315152855,0.067700927,-3.11827537,3.72055814,0.278200657,-0.093988157,0.046059242,3.521951051,0.152925439,0.279818929,0.450309969,0.138749147,0.095508527,-3.195485751,0.152190888,0.122747193,0.208998651,0.291763438,0.118034445,-0.173567404,3.59482625,0.072780633,0.059226199,0.005012219,3.426373936,0.006700872,0.000206761,6.837555528,0.159008421,0.380929771,-3.280411357,0.340822356,3.557885378,1.089721391,3.495326615,0.022376526,0.161316275,-0.328369438,0.001886988,0.672517478,3.493630276,0.061379045,-3.203220629,8.185009952,0.618363083,-1.37171805,-0.10800173,-0.101510091,AE
G304,-0.017737831,-0.151451174,0.071142486,-0.034036324,-0.296823691,0.096732805,-0.562538496,0.086913705,0.10141472,-3.245095159,-0.3164228,-0.268533199,-6.653567693,-9.44e-06,0.15122351,9.656689153,-0.008771119,-0.196297027,-0.04362039,-0.22485979,-0.279179826,-8.235085435,-0.127925603,-0.135972505,0.07091297,0.02045827,-0.784320927,-0.151946882,-0.018296154,-3.501544379,-0.166901779,-0.379666319,-0.067148526,0.032110819,0.115460622,3.308559158,-0.344429273,-0.283943511,3.405890553,0.076124992,-0.125472234,3.334304342,-0.233965718,-0.040316596,0.088627812,-0.005332046,0.143053796,-0.012820282,-0.670957068,0.232826588,3.838534391,-0.238628269,-3.356381609,-3.324053761,3.29885037,0.625094962,-3.301758278,3.251608877,-0.092054456,0.002146649,-5.332105118,0.149573075,0.529850829,-0.281056931,-0.152230301,NO
G306,0.063936564,0.01197757,-0.110097835,0.170209697,-0.046687704,0.01650911,-0.336734438,-0.044254463,0.047717528,-0.123011481,-0.314325338,-0.149687444,-0.17968797,-0.015848315,0.386446026,-0.105921133,-0.019760551,-0.053979524,0.025151473,0.10320842,-0.014317082,-0.198199587,0.018054493,-3.405929339,0.078822924,0.039376077,0.291434229,-0.065750389,-0.069241287,0.780388543,0.214076924,3.776716216,-3.090470387,-0.053956846,0.24940068,0.037525912,-0.269286376,0.352008233,0.007189355,-0.107238927,-0.064863275,-3.310084405,-9.881977986,-0.003151044,0.116618453,-0.013384941,0.432266632,-0.026632013,2.622984938,-0.001231471,-0.097373485,-0.275169626,-0.001863372,-0.05712686,0.131923532,0.114157301,0.151299102,3.305599101,-0.015062338,-0.040138183,4.814534762,0.152330454,0.480044965,-0.007916333,-0.040686535,AE
G332,-0.374175946,0.038635,3.399546721,-0.007026126,3.582244456,0.059781176,0.226294537,3.375379253,6.872672341,3.340360507,-0.378484047,0.096155231,0.14974712,0.046948605,-3.620733152,-3.268655431,0.046420098,-3.110697138,0.076620909,-9.578307424,-0.02155482,1.794480107,0.09497776,0.025361734,0.011886538,-3.249315072,0.223378898,0.011459033,0.091852343,-9.661279372,-0.322604794,1.095207764,0.17473786,0.103848627,-0.019375817,0.135314297,0.331197628,0.327479793,-3.332496429,0.110295914,-0.010016389,-0.041268904,-6.437848765,-9.910895021,-9.794314421,0.050216192,-3.66732502,0.053607728,-3.493476241,-3.02490974,0.412440937,0.14111953,0.05607337,0.132664752,0.279090889,0.378983782,0.375990355,-0.121157915,-3.24630636,0.077640953,0.033659089,0.006189412,0.398467043,-6.516637501,0.162686001,AE
G337,-3.670060978,0.00337514,-0.066379527,0.106915204,-0.013208018,0.366680498,-0.125678521,3.208279044,0.233380574,-0.064191147,-0.002026676,-3.307148162,-0.045833389,0.030851004,-0.02621271,0.263270352,-3.4127314,-0.241196889,-3.23489737,-3.163896253,0.093867442,0.095975358,0.0601628,-0.071131865,-0.027863237,0.007445904,0.299296147,-0.102031184,-6.637137427,0.047424172,-0.085898131,0.275123149,0.203731735,0.137762315,-0.211319583,0.112373834,-0.339844685,0.272642512,-0.013143934,0.091614387,0.289406844,0.02022218,0.059058089,-0.021062116,0.131601475,0.0699187,1.812657679,0.069396548,0.37789288,0.0,-0.120702222,-0.08146104,-6.604552307,-0.226171554,-0.158195147,-0.88181286,0.550229951,0.071737057,-0.15897401,0.103917431,0.096353454,2.860565439,-0.019668668,0.084653587,-0.078330026,NO
G358,0.635369958,0.150206875,-0.029666843,6.918404959,3.5076358,0.197019389,3.942293565,0.142621841,0.232439681,0.25601838,4.383222942,0.117502626,-0.12313079,-9.924643963,0.184406089,0.192141256,0.027857147,0.211378909,0.18305946,-9.609341506,3.445861406,0.260648945,3.371601425,0.142731616,6.795044558,0.112363746,0.836426672,3.527218732,0.087617872,-9.78459807,0.303656256,0.081603045,0.54205567,0.100034994,0.524348362,0.110493819,3.384515164,0.763694195,3.38241582,0.251870509,0.328294133,-9.695722181,0.113762275,-9.851732684,0.146416639,0.171440017,0.390615731,-9.818138135,-2.483696849,-3.071331429,0.563747661,-2.989725836,0.107581498,0.218300886,0.176929507,0.107529566,0.359004182,0.382944773,0.140012405,0.191398136,1.160814402,1.482494864,0.684155537,-9.89438622,0.538624852,AE
