Sample,G101,G102,G103,G104,G105,G108,G109,G110,G111,G112,G113,G114,G115,G116,G117,G118,G119,G120,G123,G126,G130,G132,G133,G134,G135,G136,G137,G138,G139,G140,G142,G143,G144,G301,G303,G304,G305,G306,G307,G308,G309,G310,G311,G312,G313,G314,G315,G317,G318,G319,G320,G322,G323,G324,G325,G327,G328,G332,G334,G335,G336,G337,G338,G340,G341,G342,G345,G347,G350,G352,G354,G357,G359,G360,G361,G362,G363,G365,G366,G367,G368,G370,G372,G373,G374,G375,G376,G379,G381,G382,G383,G384,G385,G387,G389,G390,G391,G392,G393,G394,G396,G397
ISOLEUCINE-N-O-TMS-1-M/z233,-385.0,-364.0,3079.0,-809.0,2594.0,266.0,1213.0,-2852.0,6276.0,131.0,-22.0,1687.0,-32.0,317.0,-237.0,1939.0,-564.0,4003.0,1485.0,-1333.0,142.0,-1097.0,589.0,5539.0,11116.0,1188.0,-2288.0,-82.0,-6367.0,-6116.0,1670.0,-2826.0,-4298.0,6273.0,1886.0,191.0,-1964.0,-770.0,356.0,150.0,-669.0,4446.0,5214.0,3660.0,2625.0,8467.0,5748.0,4224.0,-368.0,1482.0,-1231.0,254.0,-870.0,-2702.0,-2358.0,3366.0,-1593.0,499.0,1754.0,3083.0,2799.0,3274.0,981.0,-1034.0,3847.0,2648.0,909.0,2282.0,3056.0,11527.0,3228.0,-4375.0,848.0,2397.0,-2847.0,-695.0,-5492.0,-1018.0,126.0,-1161.0,-1484.0,3619.0,3708.0,678.0,2662.0,3491.0,4277.0,1696.0,-914.0,-2809.0,-2792.0,4069.0,-4845.0,-405.0,-3483.0,2910.0,525.0,-2218.0,7256.0,3113.0,3665.0,443.0
LACTOSE-MEOX8TMS_1-1-M/z204,-2147.0,-756.0,-550.0,432.0,-128.0,785.0,-136.0,25.0,-186.0,-747.0,1483.0,8.0,-2194.0,510.0,-193.0,435.0,-468.0,390.0,536.0,31.0,959.0,-30.0,-217.0,-137.0,74.0,-809.0,-300.0,-398.0,484.0,-1828.0,-287.0,-880.0,600.0,-207.0,32.0,-320.0,-41.0,794.0,255.0,1074.0,28.0,-3245.0,-98.0,864.0,-133.0,-415.0,-60.0,267.0,-475.0,315.0,896.0,140.0,-907.0,102.0,-331.0,349.0,363.0,-31.0,1098.0,696.0,-366.0,-546.0,-416.0,-2400.0,-435.0,661.0,323.0,285.0,-162.0,-142.0,-65.0,250.0,-254.0,168.0,79.0,-474.0,-585.0,-1505.0,550.0,514.0,-488.0,-263.0,262.0,828.0,244.0,-699.0,1636.0,10.0,280.0,-781.0,-510.0,775.0,61.0,-141.0,1616.0,-186.0,22.0,600.0,-146.0,-186.0,439.0,-237.0
LAMINARIBIOSE-MEOX-8TMS_2-1-M/z361,3.0,-760.0,-401.0,-60.0,-301.0,-169.0,-8.0,-986.0,-112.0,-24.0,-98.0,116.0,-291.0,-216.0,360.0,-200.0,-111.0,411.0,44.0,-230.0,-197.0,-224.0,47.0,-84.0,-331.0,401.0,-68.0,40.0,-268.0,-843.0,-235.0,-70.0,-92.0,-254.0,285.0,72.0,-202.0,-209.0,1076.0,176.0,72.0,-428.0,-216.0,55.0,178.0,65.0,-109.0,-415.0,-194.0,-227.0,516.0,-759.0,-311.0,540.0,-111.0,-171.0,-338.0,-263.0,-976.0,-206.0,-642.0,214.0,92.0,-162.0,-65.0,441.0,-445.0,-797.0,-258.0,640.0,-500.0,-311.0,-54.0,-152.0,116.0,-784.0,-105.0,-216.0,570.0,-393.0,-153.0,-422.0,183.0,-237.0,-783.0,-87.0,25.0,154.0,-189.0,-88.0,381.0,50.0,518.0,-143.0,-122.0,-161.0,-372.0,102.0,151.0,88.0,17.0,-400.0
LAMINARIBIOSE-MEOX8TMS_1-1-M/z217,-1937.0,-944.0,-270.0,-2566.0,-260.0,52.0,-1075.0,-1423.0,-2438.0,-1944.0,-276.0,2153.0,-41.0,-585.0,-1557.0,-238.0,-226.0,328.0,1075.0,591.0,-786.0,-493.0,1334.0,782.0,942.0,1759.0,-1390.0,-51.0,-1252.0,-4625.0,-762.0,170.0,-276.0,-148.0,1247.0,-1087.0,-532.0,878.0,4904.0,924.0,543.0,-1668.0,-1801.0,-241.0,910.0,-161.0,285.0,-226.0,-9.0,-466.0,996.0,-330.0,608.0,402.0,-530.0,961.0,-1856.0,-287.0,-913.0,-1022.0,1495.0,-107.0,1095.0,-905.0,-470.0,926.0,-1607.0,-462.0,-195.0,398.0,389.0,-472.0,-364.0,-431.0,1058.0,-1431.0,-1654.0,860.0,1761.0,-617.0,-990.0,-595.0,111.0,-17.0,-384.0,181.0,-947.0,30.0,135.0,-1166.0,1065.0,418.0,1455.0,-190.0,-813.0,-11.0,-118.0,732.0,1549.0,-254.0,-1267.0,146.0
LEUCINE-N-O-TMS-1-M/z158,51910.0,-5314.0,95020.0,-54016.0,28817.0,91993.0,160784.0,-178026.0,478515.0,-109339.0,-226431.0,373683.0,-96726.0,-18700.0,-77243.0,202792.0,-99443.0,256129.0,168125.0,-28286.0,82676.0,-35189.0,34831.0,210772.0,478282.0,82766.0,47448.0,108538.0,-320773.0,-284083.0,128031.0,-46259.0,-350097.0,214997.0,121552.0,45529.0,-94574.0,20323.0,97675.0,-65835.0,28218.0,133623.0,347942.0,146417.0,86966.0,418161.0,328872.0,397734.0,-36295.0,255204.0,-4470.0,-31485.0,-136285.0,-134285.0,-137930.0,192961.0,-35864.0,-95068.0,-16536.0,62937.0,157575.0,249449.0,60595.0,-65640.0,155236.0,206388.0,-12041.0,49886.0,196198.0,769888.0,195983.0,-175750.0,72486.0,196294.0,-112906.0,5707.0,-262959.0,6963.0,161969.0,-96980.0,-6935.0,162273.0,226218.0,-80170.0,-9011.0,381965.0,199273.0,72501.0,-102760.0,-198062.0,-109851.0,234026.0,-261733.0,6177.0,-164465.0,236977.0,21538.0,-169966.0,250035.0,95911.0,181452.0,80764.0
LYSINE-N-N-N-O-TMS_2-1,-75090.0,210880.0,996224.0,99581.0,-53644.0,-235766.0,-268367.0,-403779.0,602081.0,-228761.0,82951.0,-111756.0,-234084.0,611466.0,405034.0,551560.0,-143241.0,259962.0,-7583.0,-309997.0,156142.0,57495.0,326900.0,635633.0,968699.0,-103127.0,-487018.0,388711.0,203783.0,-847801.0,-243862.0,-67185.0,-417372.0,845942.0,223887.0,-31263.0,-322153.0,-41940.0,61902.0,-68376.0,314575.0,106342.0,402975.0,154268.0,296933.0,502824.0,506103.0,558878.0,-176177.0,749573.0,-228757.0,-647377.0,-686980.0,312347.0,-324092.0,546672.0,-327936.0,830833.0,3259.0,-187949.0,479005.0,481770.0,-197546.0,38889.0,86257.0,279061.0,-47411.0,282976.0,607461.0,660902.0,-82320.0,-255304.0,79446.0,472903.0,-229744.0,207033.0,-338434.0,90065.0,11556.0,-325225.0,-83739.0,483687.0,439279.0,196414.0,275491.0,639707.0,846321.0,323225.0,-290102.0,-555752.0,-207112.0,192757.0,-584192.0,-134253.0,-372720.0,486528.0,-82697.0,-254833.0,291674.0,-66586.0,453319.0,-180369.0
LYSINE-N-N-O-TMS_1-1-M/z102,-148.0,-117.0,295.0,1160.0,-3926.0,1281.0,184.0,-578.0,2516.0,-210.0,63.0,632.0,229.0,386.0,-5.0,1162.0,-224.0,180.0,-64.0,2099.0,874.0,917.0,1500.0,931.0,2065.0,-55.0,-276.0,1968.0,-28059.0,-2123.0,469.0,2644.0,-27.0,582.0,-2022.0,-1208.0,-2606.0,-4.0,121.0,-1713.0,743.0,180.0,1326.0,-83.0,111.0,946.0,-378.0,-303.0,495.0,-120.0,45.0,108.0,15727.0,1510.0,-222.0,8401.0,-8191.0,-3794.0,-2010.0,160.0,2869.0,515.0,-875.0,386.0,1555.0,688.0,336.0,14.0,675.0,787.0,-913.0,-820.0,468.0,789.0,6064.0,618.0,11.0,-318.0,851.0,-336.0,-1079.0,184.0,56.0,637.0,352.0,503.0,4738.0,701.0,-35432.0,90.0,-1833.0,477.0,-9501.0,-931.0,-336.0,640.0,456.0,1119.0,242.0,-229.0,4240.0,-477.0
LYSINE-N-N-O-TMS_3-1,-1662.0,-198.0,3443.0,-2333.0,-1738.0,-1416.0,-1947.0,523.0,5100.0,-527.0,1972.0,4198.0,-1152.0,-1570.0,-3783.0,1314.0,-2548.0,136.0,2233.0,-448.0,2179.0,-1071.0,-3698.0,3063.0,19090.0,2113.0,1556.0,922.0,8250.0,-3367.0,2091.0,-3459.0,2078.0,24016.0,453.0,1764.0,-1652.0,-516.0,2657.0,-2518.0,1293.0,2728.0,87.0,633.0,674.0,6787.0,4886.0,3505.0,-1220.0,4625.0,974.0,-2577.0,-2283.0,2273.0,-1664.0,2068.0,-1559.0,268.0,-3339.0,-832.0,3044.0,1934.0,-1689.0,-399.0,2787.0,5473.0,1837.0,2805.0,16.0,7095.0,-698.0,-4852.0,-144.0,969.0,524.0,469.0,-5664.0,2736.0,900.0,-3597.0,281.0,262.0,1219.0,6208.0,-609.0,-90.0,1303.0,3150.0,476.0,-9962.0,-739.0,825.0,-6044.0,-1010.0,316.0,2005.0,-1016.0,-6924.0,13849.0,12586.0,1776.0,588.0
LYXOSE-MEOX4TMS_1-1-M/z104,7529.0,-221.0,-711.0,79.0,900.0,154.0,-2146.0,1726.0,-78.0,141.0,240.0,-468.0,276.0,99.0,-257.0,-161.0,34.0,-634.0,-252.0,39.0,-242.0,76.0,295.0,-416.0,106.0,55.0,-79.0,311.0,-318.0,-94.0,-4820.0,-22.0,243.0,-529.0,-45.0,4341.0,-10.0,-532.0,100.0,37.0,-2263.0,-81.0,140.0,-127.0,185.0,-34.0,916.0,-2554.0,369.0,21.0,91.0,-236.0,-266.0,86.0,-1995.0,651.0,-218.0,175.0,-10.0,1101.0,-336.0,-1012.0,-162.0,-1579.0,-78.0,165.0,989.0,113.0,71.0,-172.0,-1585.0,66.0,-228.0,-226.0,1754.0,279.0,113.0,-120.0,45.0,349.0,-1960.0,-74.0,-7157.0,260.0,122.0,-369.0,-244.0,1398.0,2348.0,-291.0,-177.0,14.0,-68.0,7.0,-26.0,-430.0,116.0,-326.0,-1870.0,-158.0,-1981.0,-920.0
MALICACID-3TMS-1-M/z245,284.0,35.0,855.0,-728.0,-552.0,-456.0,-745.0,-581.0,-316.0,-305.0,-151.0,2933.0,401.0,68.0,-1195.0,567.0,49.0,634.0,-336.0,-753.0,581.0,-425.0,-266.0,-1381.0,776.0,534.0,840.0,-27.0,-1161.0,-216.0,658.0,103.0,-270.0,-612.0,685.0,-730.0,351.0,-225.0,-112.0,160.0,466.0,182.0,336.0,437.0,-505.0,-178.0,-62.0,-160.0,180.0,-28.0,158.0,-58.0,-138.0,-26.0,-258.0,384.0,-24.0,-435.0,-238.0,1048.0,-855.0,312.0,129.0,-287.0,865.0,-284.0,388.0,144.0,-56.0,-298.0,-41.0,300.0,-339.0,-699.0,802.0,-228.0,543.0,-479.0,890.0,-136.0,82.0,-805.0,-494.0,85.0,-951.0,-312.0,-168.0,32.0,718.0,-29.0,-166.0,633.0,-178.0,149.0,-319.0,703.0,311.0,-793.0,1311.0,812.0,602.0,-131.0
MALTOSE-MEOX8TMS_1-1-M/z361,-953.0,-1925.0,-183.0,-1531.0,348.0,-786.0,-1423.0,-1806.0,-2100.0,-782.0,1336.0,2522.0,42.0,-1270.0,-1326.0,-943.0,-181.0,954.0,421.0,1015.0,-299.0,-490.0,582.0,282.0,414.0,1028.0,62.0,-4.0,-720.0,-4567.0,-266.0,48.0,-1324.0,-478.0,1467.0,-1222.0,-290.0,586.0,3909.0,1760.0,713.0,-84.0,-2238.0,-248.0,273.0,-234.0,-534.0,-16.0,-328.0,329.0,162.0,-1485.0,474.0,209.0,-648.0,391.0,-1658.0,266.0,-962.0,-963.0,-437.0,-147.0,806.0,-608.0,127.0,1044.0,-1672.0,63.0,-343.0,544.0,474.0,-446.0,-651.0,-735.0,-11.0,-2284.0,-335.0,465.0,3141.0,-937.0,-1305.0,-757.0,826.0,120.0,-710.0,189.0,-440.0,342.0,-822.0,-283.0,1167.0,444.0,1605.0,-270.0,-808.0,172.0,27.0,17.0,1395.0,-155.0,-197.0,1296.0
METHYLHISTIDINE-2TMS-1-M/z168,-241.0,0.0,6046.0,-337.0,-27.0,0.0,-367.0,654.0,10715.0,37.0,-1222.0,4301.0,-3928.0,743.0,1040.0,-2631.0,37.0,663.0,350.0,-492.0,-1118.0,0.0,-276.0,251.0,11449.0,-1967.0,-33.0,-119.0,122.0,-1102.0,-1134.0,2267.0,622.0,18679.0,-156.0,977.0,-2309.0,-327.0,-4094.0,-801.0,-242.0,96.0,4388.0,-321.0,-56.0,12271.0,3492.0,-490.0,186.0,2161.0,-1948.0,387.0,336.0,-370.0,191.0,2074.0,1420.0,4576.0,-126.0,-141.0,-361.0,1527.0,-89.0,242.0,5597.0,-122.0,961.0,1030.0,-1242.0,8890.0,-3293.0,2512.0,-491.0,-703.0,9258.0,0.0,-1152.0,-60.0,0.0,9.0,-994.0,533.0,1646.0,1118.0,0.0,-647.0,1563.0,555.0,-2935.0,93.0,216.0,1644.0,-2653.0,-3061.0,262.0,-407.0,-28.0,-1610.0,10771.0,3338.0,-1739.0,-68.0
N-ACETYLGLUCOSAMINE-MEOXN-O-O-O-O-TMS_2-1-M/z159,-1102.0,359.0,972.0,-375.0,-1282.0,-642.0,-193.0,-82.0,-569.0,-157.0,378.0,194.0,201.0,713.0,313.0,-435.0,-437.0,32.0,-660.0,985.0,-317.0,413.0,483.0,611.0,-250.0,-193.0,-515.0,548.0,-168.0,-1768.0,-652.0,-466.0,-639.0,247.0,-7.0,510.0,600.0,628.0,66.0,-514.0,419.0,992.0,-651.0,-299.0,74.0,-101.0,-153.0,155.0,-630.0,-337.0,277.0,764.0,85.0,634.0,183.0,-153.0,-36.0,-458.0,40.0,488.0,-603.0,302.0,-609.0,-64.0,266.0,-40.0,1639.0,-200.0,409.0,-1864.0,-595.0,482.0,-975.0,-483.0,-316.0,-1411.0,-1086.0,-678.0,37.0,1483.0,695.0,230.0,-144.0,385.0,1172.0,-895.0,-260.0,-245.0,1063.0,-168.0,885.0,-579.0,630.0,242.0,-84.0,502.0,-543.0,-273.0,624.0,-1452.0,-107.0,-235.0
NAPROXEN-TMS-1-M/z303,-287.0,-71.0,119.0,-258.0,-127.0,-174.0,-252.0,281.0,-130.0,226.0,-14.0,199.0,285.0,-81.0,-27.0,-130.0,5.0,-34.0,105.0,260.0,-87.0,-260.0,112.0,-149.0,211.0,77.0,-108.0,-48.0,24.0,-29258.0,155.0,-241.0,200.0,130.0,-229.0,257.0,474.0,-122.0,253.0,-238.0,49.0,279.0,-313.0,524.0,-140.0,-77.0,224.0,-244.0,-109.0,56.0,-445.0,207.0,-141.0,148.0,47.0,-26.0,-181.0,1845.0,127.0,202.0,98.0,-221.0,-88.0,-28.0,87.0,82.0,536.0,-189.0,-73.0,-277.0,-439.0,150.0,-201.0,-27.0,-203.0,-138.0,-155.0,-38.0,-220.0,241.0,115.0,27.0,155.0,75.0,183.0,-351.0,-622.0,-128.0,131.0,-42.0,98.0,140.0,64.0,198.0,-182.0,107.0,23.0,-60.0,-8.0,-177.0,164.0,44.0
NIGEROSE-MEOX-8TMS_2-1-M/z361,122.0,-270.0,-423.0,-237.0,-412.0,-437.0,-405.0,-768.0,-194.0,-248.0,92.0,102.0,465.0,-15.0,200.0,-245.0,-286.0,730.0,-13.0,13.0,-324.0,-236.0,56.0,429.0,-302.0,474.0,-183.0,99.0,-476.0,-809.0,-291.0,-133.0,-464.0,-23.0,428.0,23.0,-175.0,-249.0,1107.0,346.0,42.0,-414.0,-197.0,-92.0,169.0,100.0,-143.0,-481.0,-136.0,13.0,494.0,-997.0,-320.0,777.0,-530.0,-188.0,-689.0,-150.0,-877.0,-177.0,-744.0,328.0,39.0,43.0,9.0,375.0,-381.0,-129.0,-677.0,583.0,25.0,-109.0,17.0,-458.0,248.0,-787.0,-38.0,-264.0,872.0,-434.0,-84.0,-397.0,208.0,-126.0,-707.0,-4.0,26.0,20.0,-94.0,-72.0,437.0,265.0,496.0,-252.0,-581.0,-235.0,-441.0,174.0,204.0,168.0,69.0,-488.0
OCTADECADIENOICACID-9-12-(Z-Z)-TMS-1-M/z337,10687.0,4412.0,2188.0,-9414.0,-7095.0,-3060.0,-2368.0,180.0,-1683.0,4619.0,281.0,22985.0,10562.0,-10185.0,-2190.0,1118.0,2901.0,6763.0,5579.0,-269.0,-4626.0,4467.0,5683.0,13728.0,-3379.0,-7175.0,-1226.0,4658.0,13974.0,6432.0,9306.0,-2185.0,521.0,3340.0,6840.0,-3325.0,5245.0,-6883.0,-1902.0,1612.0,-387.0,-4393.0,6195.0,5048.0,-3682.0,-24528.0,1190.0,6907.0,-7144.0,-3381.0,-12588.0,1721.0,11837.0,2355.0,3125.0,-6988.0,9337.0,-5956.0,-6599.0,-1258.0,-3393.0,588.0,-24663.0,5755.0,2853.0,-1607.0,10800.0,-3280.0,-2399.0,-14671.0,-612.0,2885.0,-2608.0,-9331.0,1757.0,9894.0,2462.0,1654.0,-9246.0,-8056.0,834.0,-5763.0,5804.0,2544.0,2099.0,2359.0,-8909.0,1737.0,-1077.0,3400.0,-1508.0,-5997.0,12674.0,-3687.0,17841.0,659.0,25403.0,12267.0,8282.0,3315.0,-8273.0,-5160.0
OCTADECANOICACID-TMS-1-M/z313,1891.0,1712.0,-323.0,-801.0,-1877.0,179.0,657.0,-575.0,-1099.0,488.0,-222.0,1854.0,130.0,-283.0,-1025.0,851.0,268.0,-9.0,501.0,-1026.0,-1041.0,205.0,1645.0,3109.0,-1096.0,-1158.0,-423.0,480.0,1375.0,2032.0,203.0,142.0,-847.0,283.0,22.0,-2255.0,1585.0,-687.0,-391.0,483.0,-793.0,-833.0,105.0,71.0,-693.0,-3924.0,-35.0,1532.0,-1771.0,-1228.0,-883.0,-97.0,2441.0,-1005.0,533.0,-767.0,1729.0,-857.0,-1577.0,530.0,-532.0,451.0,-2593.0,1272.0,647.0,18.0,1839.0,-3430.0,-1056.0,-2679.0,1508.0,60.0,-1146.0,-2049.0,680.0,1115.0,1862.0,-103.0,-3257.0,-1361.0,650.0,-435.0,2782.0,-366.0,414.0,284.0,-2146.0,1422.0,40.0,711.0,-165.0,-1366.0,1116.0,-670.0,2745.0,535.0,4837.0,1386.0,204.0,399.0,-1503.0,-2035.0
OCTADECENOICACID-9-(E)-TMS-1-M/z339,53881.0,35649.0,-815.0,-36314.0,-36336.0,12796.0,-2943.0,-9399.0,-4924.0,16261.0,-5935.0,87397.0,45909.0,-31622.0,-7928.0,6165.0,763.0,65649.0,29906.0,-11838.0,-15939.0,19160.0,22293.0,68459.0,-11520.0,-46577.0,-8647.0,14119.0,58826.0,46397.0,44133.0,239.0,-11379.0,10564.0,18901.0,-1638.0,41241.0,-38870.0,-8814.0,4501.0,1561.0,-35586.0,20867.0,13819.0,-12100.0,-132173.0,-13581.0,22253.0,-47708.0,-25250.0,-39022.0,-3422.0,74985.0,7894.0,14621.0,-50980.0,52973.0,-1535.0,-35811.0,-3276.0,-16653.0,10984.0,-114898.0,49818.0,-957.0,-2962.0,73408.0,-39771.0,-35736.0,-60419.0,-10535.0,9442.0,-24720.0,-43068.0,444.0,15322.0,19242.0,9087.0,-88717.0,-47342.0,21846.0,-22056.0,15297.0,14545.0,15916.0,-26731.0,-35691.0,18720.0,-1358.0,21760.0,-10300.0,-49034.0,48306.0,-19633.0,102478.0,-11280.0,103013.0,70200.0,17361.0,-157.0,-39432.0,-42727.0
