,EIF2B1,TOX2,GAS8,ENC1,PLCXD1,IFIT1,CDKN1C,CD300LB,ZNF718,NSF,NAPSB,PDSS2,UBE3B,DYNLL1,ARMC5,STAG1,KLHL11,RBX1,RPL23AP82,XPC,KCTD10,PPBP,CEP95,IFNA1,GOLGA4,ZNF586,IFITM2,GTF3C5,SCP2,TCP1,PSMB7,RNF2,LEFTY1,LONP2,MRC1,FCGBP,C11orf30,CST3,CA1,BAIAP2L2,ALAS2,CD300LD,BLOC1S6,P2RY6,LOC100506123,SPIN2B,MESDC2,EIF1,RIC8B,C1QTNF6,MARCH1,EML4,TAF1B,FOXD4L5,EIF2B1,SGPP2,TOX2,GAS8,ZNF513,ENC1,IFIT1,CDKN1C,CD300LB,ZNF718,NSF,RSBN1L,NAPSB,PDSS2,SERPINI1,UBE3B,FEZ1,ARMC5,STAG1,RNF217,RPL23AP82,KCTD10,PPBP,IFNA1,HEXA-AS1,VIT,GOLGA4,GKAP1,UBTD1,GTF3C5,TCP1,PKD1,RABL6,RNF2,OAS3,NOSIP,TIMM23,LIG3,LONP2,LYAR,MRC1,C11orf30,CEBPD,CST3,ALAS2,CRLF2,LOC100506123,MARK2P9,SLC25A20,Class
G101,-0.044216000000000005,-2.801971,1.18743,-0.24692600000000003,-0.35796500000000003,7.588863000000001,1.963893,-0.32421700000000003,-0.050973000000000004,0.185129,1.349766,1.1954,-0.288982,1.466935,-0.445463,-0.152898,0.21477,2.398021,-0.031409,-0.292487,-1.277698,0.632314,-0.5862229999999999,0.16603099999999998,-0.05875,-0.9615889999999999,-0.894602,-0.205452,-0.753745,0.064719,0.396302,-0.046409,-0.44849300000000003,0.185005,-0.600784,-0.51851,-1.167033,0.023074,1.320324,1.322194,0.520415,-0.913434,-0.733751,1.160409,0.032775,0.705041,0.224516,-0.125823,0.45038199999999995,-0.44879399999999997,1.37412,8e-05,0.519011,0.22052199999999997,-0.044216000000000005,0.12369300000000001,-2.801971,1.18743,1.480089,-0.24692600000000003,7.588863000000001,1.963893,-0.32421700000000003,-0.050973000000000004,0.185129,-0.09086799999999999,1.349766,1.1954,1.013068,-0.288982,0.231841,-0.445463,-0.152898,1.473035,-0.031409,-1.277698,0.632314,0.16603099999999998,-1.158342,1.075036,-0.05875,0.47019799999999995,-0.813106,-0.205452,0.064719,-0.843464,-1.2563309999999999,-0.046409,5.636971,0.5471689999999999,0.693699,0.001224,0.185005,-0.752366,-0.600784,-1.167033,0.064968,0.023074,0.520415,-0.44778999999999997,0.032775,0.254859,0.318984,Waned
G102,0.566812,0.689631,-0.958623,-0.644397,-0.7608090000000001,7.141739,1.003233,0.42649499999999996,0.331507,0.797402,0.9677870000000001,-0.5388390000000001,-0.053347000000000006,-0.349936,-0.45130600000000004,-0.68385,0.06679299999999999,-0.07004500000000001,0.17069600000000001,-0.704267,-0.363254,0.047182,-0.928673,0.0,0.629667,0.94125,1.7100220000000002,0.120199,-1.345018,-0.38103200000000004,-0.164128,0.736279,0.651512,-0.354273,-0.091696,-0.9841110000000001,-0.527507,1.13606,-0.37442800000000004,-1.237918,0.023688,-0.210108,-0.366683,3.146992,-1.975148,-1.284407,-0.18496300000000002,-0.229042,0.380517,-1.117901,1.8905990000000001,0.152275,-0.09781799999999999,1.9531919999999998,0.566812,-1.771121,0.689631,-0.958623,0.011651,-0.644397,7.141739,1.003233,0.42649499999999996,0.331507,0.797402,0.387019,0.9677870000000001,-0.5388390000000001,-1.1235700000000002,-0.053347000000000006,-1.737022,-0.45130600000000004,-0.68385,0.668538,0.17069600000000001,-0.363254,0.047182,0.0,1.182649,-1.276894,0.629667,-1.129672,-0.884992,0.120199,-0.38103200000000004,-0.633648,-0.9062790000000001,0.736279,5.973579,-0.734309,0.41873599999999994,0.11013099999999999,-0.354273,-0.34707,-0.091696,-0.527507,1.07689,1.13606,0.023688,-0.9737620000000001,-1.975148,0.0,1.032987,Waned
G103,0.05509,-1.0429950000000001,-0.88881,-0.837109,-0.093713,6.836218,-0.064299,-0.14349,-0.003935,0.928066,0.634756,-0.465876,-0.377046,0.641828,-0.101323,-0.305296,-0.578125,0.9270120000000001,-0.390838,-0.779778,-0.246392,-0.186642,-0.42894799999999994,-0.65493,-0.20768499999999998,0.11495799999999999,2.0401830000000003,-0.642776,-0.881452,0.369113,0.341729,-0.25856599999999996,-1.131105,-0.261988,0.780482,-2.347005,-0.316388,0.901832,0.204232,0.31753899999999996,-0.336866,-1.4911299999999998,0.12601800000000002,3.75216,-1.078523,-0.464742,0.20188499999999998,0.352335,-0.379728,0.149172,1.422886,-0.48003199999999996,0.52298,1.096198,0.05509,0.349233,-1.0429950000000001,-0.88881,-1.003378,-0.837109,6.836218,-0.064299,-0.14349,-0.003935,0.928066,0.951677,0.634756,-0.465876,-0.045107,-0.377046,-1.244182,-0.101323,-0.305296,0.812068,-0.390838,-0.246392,-0.186642,-0.65493,-1.721661,-0.891776,-0.20768499999999998,-0.289256,0.076335,-0.642776,0.369113,-1.0698,0.157256,-0.25856599999999996,5.6634839999999995,-0.006138,0.286398,0.349065,-0.261988,-0.489476,0.780482,-0.316388,0.5404180000000001,0.901832,-0.336866,0.249654,-1.078523,-0.368288,0.39265100000000003,Waned
G104,0.091389,-2.6653330000000004,-2.425868,-0.042724,-0.078066,7.793937,1.3858139999999999,0.08694400000000001,-0.76334,1.84929,1.681041,-0.813617,0.224544,0.119429,-0.240573,-0.755839,0.088839,1.105502,-2.1259650000000003,-0.12792,-0.668307,0.414731,-1.110309,0.0,0.161549,-0.614062,1.913257,0.048342,-0.26570900000000003,0.183108,0.037569,-0.2129,0.534808,-0.286103,0.07800599999999999,-0.592475,-0.192905,1.309192,0.483731,-0.55018,0.538557,-0.014671,0.855247,2.798822,-1.672537,-0.23837600000000003,0.145802,0.357719,0.046525,-0.565559,1.626083,-0.674477,0.190857,1.7883040000000001,0.091389,-0.9334040000000001,-2.6653330000000004,-2.425868,0.444114,-0.042724,7.793937,1.3858139999999999,0.08694400000000001,-0.76334,1.84929,0.791618,1.681041,-0.813617,-2.6653330000000004,0.224544,-2.489563,-0.240573,-0.755839,0.606627,-2.1259650000000003,-0.668307,0.414731,0.0,-1.258704,-0.55018,0.161549,-0.6496529999999999,-0.135749,0.048342,0.183108,-1.548525,-0.276801,-0.2129,6.583969000000001,1.3405340000000001,0.0742,0.786499,-0.286103,-0.784092,0.07800599999999999,-0.192905,0.006901999999999999,1.309192,0.538557,0.131773,-1.672537,-0.010853,0.233357,Persistent
G105,-0.239443,3.545058,1.3560969999999999,-1.400598,0.34984499999999996,6.1621879999999996,0.305388,-0.467369,-0.214518,0.088385,1.406175,-1.3351469999999999,-0.104201,0.658686,1.481091,-0.362611,-0.249889,0.322493,-0.398198,0.045673000000000005,-0.030955,0.5401199999999999,-0.644308,3.7692650000000003,0.420671,-0.17977200000000002,1.26614,0.171986,-0.114725,0.123777,-0.192829,0.31954099999999996,2.112053,-0.43404499999999996,-0.9718180000000001,1.295787,0.13959100000000002,0.9137040000000001,0.035799,-0.32560500000000003,0.5936,-1.379973,-0.077767,2.5624689999999997,0.334056,-1.016245,-0.162697,0.170714,-0.682894,1.1897870000000002,0.437537,-0.44608000000000003,0.225043,0.890811,-0.239443,0.34846,3.545058,1.3560969999999999,1.088133,-1.400598,6.1621879999999996,0.305388,-0.467369,-0.214518,0.088385,0.555138,1.406175,-1.3351469999999999,-1.067065,-0.104201,-0.892143,1.481091,-0.362611,0.689867,-0.398198,-0.030955,0.5401199999999999,3.7692650000000003,-0.45807200000000003,-0.32560500000000003,0.420671,-0.9109360000000001,-0.0227,0.171986,0.123777,-0.939542,0.279477,0.31954099999999996,4.734977,1.021564,-0.21760700000000002,-0.017188,-0.43404499999999996,0.384681,-0.9718180000000001,0.13959100000000002,-0.282896,0.9137040000000001,0.5936,0.08236,0.334056,2.135176,-0.08777599999999999,Waned
G108,0.24451199999999998,-1.600336,-0.699194,-0.49907799999999997,0.367286,6.0821,1.200526,-0.075137,-1.354447,1.164669,1.286758,0.288948,-0.187962,0.302076,-0.447874,-0.248896,0.10998499999999999,1.2881770000000001,-0.8159,-0.317229,-0.30065,0.502529,-0.229171,0.171872,-0.726735,-1.41608,0.30147399999999996,-0.143837,0.15383,0.556063,0.575342,-0.4644,-0.151527,-0.305823,0.09689099999999999,-1.277652,-0.7507689999999999,0.9035030000000001,0.7131890000000001,-1.854941,0.647475,-1.175759,0.316087,1.316359,-1.012111,0.031876,0.19916099999999998,0.191715,-0.15277000000000002,-0.49682200000000004,0.830607,-0.15290399999999998,0.6144850000000001,2.244175,0.24451199999999998,-0.148977,-1.600336,-0.699194,0.489097,-0.49907799999999997,6.0821,1.200526,-0.075137,-1.354447,1.164669,0.422655,1.286758,0.288948,0.511332,-0.187962,0.14155399999999999,-0.447874,-0.248896,-0.185955,-0.8159,-0.30065,0.502529,0.171872,0.24926199999999998,1.042555,-0.726735,-0.974152,-0.180347,-0.143837,0.556063,-1.252915,0.27315100000000003,-0.4644,5.247681,1.156868,0.6935439999999999,0.365165,-0.305823,-0.305309,0.09689099999999999,-0.7507689999999999,-0.24633200000000002,0.9035030000000001,0.647475,-0.10659400000000001,-1.012111,-2.2119400000000002,0.101897,Persistent
G110,-0.165613,-1.4883540000000002,-1.383987,-0.8467819999999999,0.930892,7.107748,2.384873,0.44265,-0.018134,1.263318,0.45393,-0.480443,0.310158,0.16966199999999998,-1.714818,-0.143533,-0.683735,0.27671599999999996,-0.7560020000000001,-0.243367,0.15370799999999998,0.109858,-0.12324700000000001,1.065788,-0.904351,-0.7518729999999999,1.9744400000000002,-0.109345,-0.31081,0.860253,0.037312,0.23712800000000003,-0.17202,-0.5295449999999999,1.07307,-0.89731,-0.159718,0.9825020000000001,0.691235,-2.4968220000000003,0.9482370000000001,-0.33356199999999997,0.395412,2.2253540000000003,-1.945153,0.179152,0.120065,0.43859,-1.547258,-1.665554,0.49881800000000004,-0.6487430000000001,0.064805,2.092993,-0.165613,0.506321,-1.4883540000000002,-1.383987,0.47866800000000004,-0.8467819999999999,7.107748,2.384873,0.44265,-0.018134,1.263318,0.772996,0.45393,-0.480443,0.23619899999999996,0.310158,-2.313095,-1.714818,-0.143533,1.103238,-0.7560020000000001,0.15370799999999998,0.109858,1.065788,0.45144700000000004,1.0017969999999998,-0.904351,0.134527,-0.062442,-0.109345,0.860253,-1.7017900000000001,-0.39120900000000003,0.23712800000000003,6.805433,1.294295,-0.12665,-0.553958,-0.5295449999999999,-0.641012,1.07307,-0.159718,-0.163578,0.9825020000000001,0.9482370000000001,0.676296,-1.945153,1.587358,-0.39458000000000004,Persistent
G111,0.380348,-2.071974,0.304739,-0.044237,-0.577599,8.102074,1.5861040000000002,0.230683,-0.990711,1.056814,1.560556,0.177765,-0.062229999999999994,0.631307,-1.735524,-0.264121,0.275983,2.2301029999999997,-0.689592,-0.5647979999999999,-0.157248,-0.532591,0.304739,2.227442,-0.90755,-0.8834200000000001,-0.022876,-0.01499,0.46840299999999996,0.343217,0.541696,-0.05837899999999999,1.387789,-0.41556800000000005,-2.0096119999999997,0.52336,-0.822089,1.046182,-0.556977,-0.9431450000000001,-1.45529,-2.042047,0.77659,1.480815,-1.239307,0.607615,0.181437,-0.28465799999999997,0.55276,-0.304598,1.660797,-0.68684,0.741855,1.5063010000000001,0.380348,-0.048716,-2.071974,0.304739,0.547784,-0.044237,8.102074,1.5861040000000002,0.230683,-0.990711,1.056814,0.501365,1.560556,0.177765,-1.118683,-0.062229999999999994,-0.264302,-1.735524,-0.264121,2.108459,-0.689592,-0.157248,-0.532591,2.227442,0.547844,0.47191700000000003,-0.90755,0.281453,-0.17415999999999998,-0.01499,0.343217,-1.580191,-0.168621,-0.05837899999999999,6.019644,0.700458,0.62883,-0.21166,-0.41556800000000005,0.11140599999999999,-2.0096119999999997,-0.822089,0.303561,1.046182,-1.45529,0.973806,-1.239307,2.278747,-0.25653000000000004,Persistent
G112,0.523105,-2.417553,-0.32697800000000005,0.309108,-0.478263,4.03419,-0.432697,-0.53596,0.0,1.657961,0.42923199999999995,-2.098316,1.050797,-0.5317529999999999,-2.113597,0.217554,0.37701999999999997,-0.146561,-1.088802,0.508547,0.276568,0.2136,-0.32697800000000005,0.0,0.7725310000000001,-0.9320870000000001,-1.0438040000000002,-0.286172,0.691008,0.22024200000000002,0.12113499999999999,0.17072400000000001,-1.095907,-0.301041,0.257139,-1.066008,1.116308,1.141416,0.8873549999999999,-2.921535,-0.178498,0.45527399999999996,-0.041634,0.147208,-0.602662,-0.6103109999999999,-0.22594499999999998,0.43768100000000004,-0.619382,-1.535156,0.602344,-0.356738,0.346047,2.190091,0.523105,-0.684555,-2.417553,-0.32697800000000005,-0.385693,0.309108,4.03419,-0.432697,-0.53596,0.0,1.657961,0.820017,0.42923199999999995,-2.098316,-0.277771,1.050797,-0.313114,-2.113597,0.217554,0.9012819999999999,-1.088802,0.276568,0.2136,0.0,-2.100392,0.0,0.7725310000000001,1.436365,-0.543506,-0.286172,0.22024200000000002,-1.063201,0.092945,0.17072400000000001,3.671636,1.509868,-0.1432,0.228712,-0.301041,0.354784,0.257139,1.116308,1.8292110000000001,1.141416,-0.178498,-0.14432799999999998,-0.602662,0.162712,0.05327899999999999,Waned
G117,0.006986,-2.1458459999999997,-0.45246099999999995,-0.519798,0.092944,7.080891,1.6602689999999998,-0.44282200000000005,1.465708,1.741067,1.230718,0.052146000000000005,0.200204,-0.06766799999999999,-0.504854,-0.272954,0.02251,0.485325,-1.208301,-0.629,-0.666714,-0.084711,0.026024000000000002,1.15904,0.284918,-0.708709,2.103645,0.356746,-0.714837,-0.028219,0.147558,-0.008797,0.37528,-0.619711,0.281615,-0.441655,-0.829492,0.9947889999999999,0.366799,-0.6114850000000001,0.050754,-0.575647,0.280812,1.50665,-0.590071,-0.003179,-0.119208,-0.027010000000000003,0.181899,-0.9258549999999999,1.377773,-0.407585,0.124601,1.8016240000000001,0.006986,-1.3102209999999999,-2.1458459999999997,-0.45246099999999995,0.126555,-0.519798,7.080891,1.6602689999999998,-0.44282200000000005,1.465708,1.741067,0.293527,1.230718,0.052146000000000005,-1.670232,0.200204,-0.9289790000000001,-0.504854,-0.272954,1.678438,-1.208301,-0.666714,-0.084711,1.15904,-0.0018690000000000002,0.862548,0.284918,0.798056,-0.398713,0.356746,-0.028219,-1.313755,-0.5859,-0.008797,6.637266,1.401311,-0.024804,0.276753,-0.619711,-0.629274,0.281615,-0.829492,0.932433,0.9947889999999999,0.050754,-0.647493,-0.590071,-0.6114850000000001,-0.378411,Waned
G119,0.071228,0.459086,0.167607,0.453694,0.292986,7.581816000000001,1.057752,0.302077,0.035146,1.619091,1.289521,0.373026,0.107351,0.6416890000000001,-1.415374,-0.28316199999999997,-0.402708,0.77689,-0.934265,-0.836915,-0.3055,0.535502,-1.127843,-2.497236,0.24205,0.10943199999999999,1.8480990000000002,-0.479525,-0.694567,0.395189,0.191224,-0.442194,-0.613155,-0.8204799999999999,-1.127843,-0.785913,-0.187279,0.778211,0.5054420000000001,0.466995,0.61961,-0.645159,-0.0070030000000000005,3.127456,-0.607264,-0.15345999999999999,0.49122299999999997,0.27152600000000005,-0.5959840000000001,-0.161495,1.162628,0.0699,0.473929,1.996563,0.071228,-0.307694,0.459086,0.167607,-0.236485,0.453694,7.581816000000001,1.057752,0.302077,0.035146,1.619091,0.258469,1.289521,0.373026,-0.642926,0.107351,-1.83702,-1.415374,-0.28316199999999997,1.1018649999999999,-0.934265,-0.3055,0.535502,-2.497236,0.9184200000000001,-0.761608,0.24205,-0.955699,-0.35711,-0.479525,0.395189,-0.566389,-0.697162,-0.442194,6.704297,0.01125,0.320035,0.481759,-0.8204799999999999,-0.43047299999999994,-1.127843,-0.187279,-0.045823,0.778211,0.61961,-0.891913,-0.607264,-2.1649540000000003,-0.602851,Persistent
G120,0.058962,-2.36635,-0.509622,-0.21963400000000002,-1.129453,7.015842999999999,-1.075102,-0.184069,0.0,0.901617,0.056942999999999994,-0.433886,0.286998,-0.29676199999999997,0.269849,0.006102000000000001,0.40967700000000007,-0.226386,-0.78309,-0.246085,-0.9200870000000001,0.183084,-1.440854,1.1463700000000001,0.610234,-0.479075,1.337308,0.42190500000000003,-0.9793040000000001,-0.117024,-0.941601,0.32254099999999997,-0.419658,-0.72524,-0.534846,-0.693847,0.423004,0.386075,0.050263999999999996,0.768701,-0.026720999999999998,-0.387452,0.055227,1.3529879999999999,0.124029,0.094524,-0.6533439999999999,0.8529959999999999,-0.261851,-0.06754500000000001,1.203294,0.46551499999999996,-0.110729,2.724296,0.058962,-1.3624610000000001,-2.36635,-0.509622,-0.453758,-0.21963400000000002,7.015842999999999,-1.075102,-0.184069,0.0,0.901617,0.705941,0.056942999999999994,-0.433886,-1.249268,0.286998,-2.626507,0.269849,0.006102000000000001,0.537827,-0.78309,-0.9200870000000001,0.183084,1.1463700000000001,0.372629,-1.113968,0.610234,0.097916,0.29646100000000003,0.42190500000000003,-0.117024,-1.442907,-1.086646,0.32254099999999997,4.5921650000000005,-0.40334000000000003,-0.088146,-0.17970799999999998,-0.72524,0.221694,-0.534846,0.423004,0.957566,0.386075,-0.026720999999999998,1.6919950000000001,0.124029,-0.547762,0.475087,Waned
G126,0.211628,0.779716,0.097777,-0.327373,-0.350664,8.208603,1.551888,0.6375810000000001,-1.217366,0.894025,-0.598158,-1.27789,0.876811,0.90691,-1.0585200000000001,-0.49526800000000004,-0.515709,0.432197,-0.857554,-0.27757600000000004,-0.386211,0.473788,-0.56588,-0.611121,-0.49787,-0.36434,1.570003,0.027597000000000003,-0.37963,0.590613,0.16614500000000001,-0.10635399999999999,-0.353352,-0.992129,-0.9279930000000001,-2.9739400000000002,0.726212,1.129446,1.769907,-0.024894,2.025185,-0.194974,-0.024083,3.3047980000000003,-1.5244209999999998,-0.841656,0.076975,0.728989,-0.69426,-0.219619,1.4411120000000002,-0.288392,0.818932,0.201131,0.211628,0.5690069999999999,0.779716,0.097777,-0.9998520000000001,-0.327373,8.208603,1.551888,0.6375810000000001,-1.217366,0.894025,0.418372,-0.598158,-1.27789,-0.365716,0.876811,-2.5573189999999997,-1.0585200000000001,-0.49526800000000004,1.7128759999999998,-0.857554,-0.386211,0.473788,-0.611121,-0.611121,-1.164193,-0.49787,-0.09586,0.93768,0.027597000000000003,0.590613,-0.934168,-0.355829,-0.10635399999999999,6.180712000000001,-0.443283,0.901927,0.300085,-0.992129,-0.015468,-0.9279930000000001,0.726212,-0.6422800000000001,1.129446,2.025185,0.14163199999999998,-1.5244209999999998,1.537272,-0.651874,Persistent
G128,-0.805747,-1.6015190000000001,1.155766,-0.534524,-0.7862680000000001,6.116144,0.993166,0.27460999999999997,-0.6582859999999999,0.528791,1.364082,-1.3250600000000001,-0.171691,1.196883,-0.193049,0.370446,-1.516945,1.1615540000000002,-0.8764219999999999,0.34913,-0.18651099999999998,0.299996,-0.800697,0.0,-0.441804,-0.511512,1.142801,-1.148862,0.511375,0.482724,0.35912,-0.332171,1.276929,-0.152808,-3.950017,-0.12117699999999999,0.425192,0.8050189999999999,0.649981,-1.7426650000000001,0.538968,0.16938699999999998,0.598788,0.809086,-0.66361,3.4913199999999995,0.315759,0.082881,-1.606927,-0.375882,-0.30582800000000004,-0.314195,0.42723500000000003,2.009789,-0.805747,1.217375,-1.6015190000000001,1.155766,0.944468,-0.534524,6.116144,0.993166,0.27460999999999997,-0.6582859999999999,0.528791,0.8024439999999999,1.364082,-1.3250600000000001,-0.692736,-0.171691,-1.294391,-0.193049,0.370446,0.531895,-0.8764219999999999,-0.18651099999999998,0.299996,0.0,-0.523117,-1.054985,-0.441804,-1.2313,0.7228479999999999,-1.148862,0.482724,-0.416162,0.266304,-0.332171,5.612506,0.5546989999999999,0.031536,-0.010968,-0.152808,-0.289313,-3.950017,0.425192,0.063309,0.8050189999999999,0.538968,1.093688,-0.66361,0.232215,-0.525046,Persistent
